numExamplesUsed	epoch	AUC	score	condition
100352	0	0.925935	0.707118	WithFreqBase
200704	1	0.941276	0.558787	WithFreqBase
301056	2	0.947869	0.486136	WithFreqBase
401408	3	0.950621	0.454486	WithFreqBase
501760	4	0.952042	0.437512	WithFreqBase
602112	5	0.953041	0.425462	WithFreqBase
702464	6	0.953778	0.416835	WithFreqBase
802816	7	0.954365	0.410178	WithFreqBase
903168	8	0.954908	0.404408	WithFreqBase
1003520	9	0.955359	0.399637	WithFreqBase
1103872	10	0.955763	0.396493	WithFreqBase
1204224	11	0.956128	0.393328	WithFreqBase
1304576	12	0.956448	0.390864	WithFreqBase
1404928	13	0.956738	0.388391	WithFreqBase
1505280	14	0.956994	0.385958	WithFreqBase
1605632	15	0.957243	0.384044	WithFreqBase
1705984	16	0.957483	0.382155	WithFreqBase
1806336	17	0.957644	0.380748	WithFreqBase
1906688	18	0.957822	0.379660	WithFreqBase
2007040	19	0.957936	0.378447	WithFreqBase
2107392	20	0.958003	0.376634	WithFreqBase
2207744	21	0.958037	0.374075	WithFreqBase
2308096	22	0.958048	0.374727	WithFreqBase
2408448	23	0.958096	0.404273	WithFreqBase
