numExamplesUsed	epoch	AUC	score	condition
37920	0	0.917633	0.026100	DirectTraining
75840	1	0.924437	0.023672	DirectTraining
113760	2	0.940694	0.024485	DirectTraining
151680	3	0.950798	0.021774	DirectTraining
189600	4	0.955566	0.021637	DirectTraining
227520	5	0.959550	0.021301	DirectTraining
265440	6	0.962661	0.021349	DirectTraining
303360	7	0.964298	0.021829	DirectTraining
341280	8	0.966657	0.021646	DirectTraining
379200	9	0.967791	0.021920	DirectTraining
