numExamplesUsed	epoch	score	AUC	condition
402619905	144	NaN	0.995961	duo_regularization
405396594	145	NaN	0.995960	duo_regularization
408173283	146	NaN	0.995963	duo_regularization
410949972	147	NaN	0.995963	duo_regularization
413726661	148	NaN	0.995964	duo_regularization
416503350	149	NaN	0.995965	duo_regularization
419280039	150	NaN	0.995967	duo_regularization
422056728	151	NaN	0.995966	duo_regularization
424833417	152	NaN	0.995967	duo_regularization
427610106	153	NaN	0.995970	duo_regularization
430386795	154	NaN	0.995971	duo_regularization
433163484	155	NaN	0.995971	duo_regularization
435940173	156	NaN	0.995974	duo_regularization
438716862	157	NaN	0.995975	duo_regularization
441493551	158	NaN	0.995977	duo_regularization
444270240	159	NaN	0.995977	duo_regularization
447046929	160	NaN	0.995979	duo_regularization
449823618	161	NaN	0.995980	duo_regularization
452600307	162	NaN	0.995981	duo_regularization
455376996	163	NaN	0.995980	duo_regularization
458153685	164	NaN	0.995981	duo_regularization
460930374	165	NaN	0.995983	duo_regularization
463707063	166	NaN	0.995984	duo_regularization
466483752	167	NaN	0.995986	duo_regularization
469260441	168	NaN	0.995985	duo_regularization
472037130	169	NaN	0.995987	duo_regularization
474813819	170	NaN	0.995988	duo_regularization
477590508	171	NaN	0.995988	duo_regularization
480367197	172	NaN	0.995991	duo_regularization
483143886	173	NaN	0.995989	duo_regularization
485920575	174	NaN	0.995989	duo_regularization
488697264	175	NaN	0.995990	duo_regularization
491473953	176	NaN	0.995991	duo_regularization
494250642	177	NaN	0.995991	duo_regularization
497027331	178	NaN	0.995992	duo_regularization
499804020	179	NaN	0.995992	duo_regularization
502580709	180	NaN	0.995993	duo_regularization
505357398	181	NaN	0.995995	duo_regularization
508134087	182	NaN	0.995995	duo_regularization
510910776	183	NaN	0.995994	duo_regularization
513687465	184	NaN	0.995996	duo_regularization
